Date,User,Tweet
2022-10-26 23:11:53+00:00,LadyXan_,"@Babra89912071 @Mike_Westaan @unusualphyna Phyna don't respond to these wicked people. Keep on being you and doing you. Let them continue condescending and crying .

FOCUSED PHYNA
PHYNA DAUGHTER OF GRACE"
2022-10-26 23:10:17+00:00,CurrentucheUche,May God continue to punish APC. https://t.co/GgJjnSYR0y
2022-10-26 23:10:03+00:00,LadyXan_,@sandybabyonyii Honestly! I wish P can stop taking anything from those entitled FC. Tell me how someone who is angry at someone's relationship or personal life will his/hers intact? They're sowing the worst seeds into their lives thinking they're dragging &amp; trolling innocent young girl.
2022-10-26 23:09:08+00:00,NdukweAnyaogu,Good information... now that we know that all the students are Obidient.  PO leading. https://t.co/etiaHinqRe
2022-10-26 23:08:00+00:00,lordjos38718543,Being in PDP is not a problem. We know you are obidient. https://t.co/KfSGhdqMn7
2022-10-26 23:07:28+00:00,LadyXan_,@FrankQ_Poet 🤣🤣🤣🤣🤣🔥🔥🔥
2022-10-26 23:07:10+00:00,Sixtuus,"@Chi_zzy100 @opebanwo @NgLabour @PeterObi @Kennedy4Aha @realkenokonkwo @labourpartyng @BarackObama Check yourself, are you truly an Obidient? This whole comments are divisive, please."
2022-10-26 23:06:45+00:00,TryNaija,Breaking: Gallant Flamingos crash to Colombia in Semi-final penalty shootout – P.M. News https://t.co/r1TTQ3QIAM
2022-10-26 23:06:24+00:00,LadyXan_,"@FrankQ_Poet The love is for life. I can't stop loving my intentional fav. They all gon crrryyyy.

FOCUSED PHYNA
PHYNA DAUGHTER OF GRACE
#Phyna"
2022-10-26 23:05:55+00:00,hendrix_umuiyoo,@SomtoPunta Wanna live a fulfilled and wealthy life
2022-10-26 23:05:26+00:00,mobrinxmansion,"@sportingking365 Amen, me too"
2022-10-26 23:04:48+00:00,ObidientOlivia,@bod_republic I swear down….make I see only 10k self
2022-10-26 23:04:11+00:00,Its_Chriswoods,"Like, is all shades of wrong. And as God'll have it, we have a good Igbo man, Peter Obi who is willing to serve. #OBIdients https://t.co/yAISAVtcgm"
2022-10-26 23:03:37+00:00,SolutionVoice,@JudeHeavenly Agbero made a trailer driver Collided with a Korekpe bus that was carrying full load of passengers. Damaged the bus completely
2022-10-26 23:02:24+00:00,Nairaexchanger,"@AlphaDeGreat @realgazakure @Artonxar @sammieleo_ 🤣🤣🤣 Guys calm down, we don’t want to force babes to become Obidient. We believe in freedom of choice and welcome Atikulated and Sowore babes. But having said that ….May hunger and hardship follow anyone wey no vote PO to change the life of Nigerians . We Move🚶🏽‍♂️🚶🏽‍♂️🚶🏽‍♂️"
2022-10-26 23:02:16+00:00,ahmani_jay,@Drizreigns @tweetsbyzyl Werey nah runam pass if we check well😂😂
2022-10-26 23:01:58+00:00,LadyXan_,@Radiant8819 Entitled FC are the worst people on BBN street. Be you and do you ❤️
